id,name,category,price,stock_qty,description
e9314a3e-86b4-412e-add2-8b7537361536,EIP Electronics Item 01,Electronics,64049.85,12,"Premium electronics product by EIP. High quality, reliable, and trusted by thousands of customers across India. Model 01."
0b2d96f0-9bce-4d7d-b052-b33944d850ba,EIP Furniture Item 02,Furniture,74231.58,125,"Premium furniture product by EIP. High quality, reliable, and trusted by thousands of customers across India. Model 02."
3cda87dd-cadb-4da1-9421-33bd1d8a1b56,EIP Apparel Item 03,Apparel,22553.11,377,"Premium apparel product by EIP. High quality, reliable, and trusted by thousands of customers across India. Model 03."
6efde06f-463e-4fac-b2ba-288a683b7b92,EIP Books Item 04,Books,10517.77,379,"Premium books product by EIP. High quality, reliable, and trusted by thousands of customers across India. Model 04."
a8f19bd5-cadb-45f2-b5ba-cbd101e403b3,EIP Sports Item 05,Sports,89249.3,44,"Premium sports product by EIP. High quality, reliable, and trusted by thousands of customers across India. Model 05."
31cd6566-1855-490a-9281-e05915f35d5a,EIP Electronics Item 06,Electronics,59171.1,16,"Premium electronics product by EIP. High quality, reliable, and trusted by thousands of customers across India. Model 06."
ab2060c3-b7de-4abb-890c-30d0704cd318,EIP Furniture Item 07,Furniture,3269.78,111,"Premium furniture product by EIP. High quality, reliable, and trusted by thousands of customers across India. Model 07."
234f1127-3b0d-42e5-aa0c-55630b5d80b9,EIP Apparel Item 08,Apparel,23495.29,308,"Premium apparel product by EIP. High quality, reliable, and trusted by thousands of customers across India. Model 08."
43a801b0-8748-4d26-8744-253c821ca0f4,EIP Books Item 09,Books,2944.64,101,"Premium books product by EIP. High quality, reliable, and trusted by thousands of customers across India. Model 09."
74d52ce6-2e2b-4bc6-a4e0-fb33d7eecc9d,EIP Sports Item 10,Sports,71686.16,359,"Premium sports product by EIP. High quality, reliable, and trusted by thousands of customers across India. Model 10."
be61475a-ca03-45bf-9e7d-cd607ee781d7,EIP Electronics Item 11,Electronics,54629.67,112,"Premium electronics product by EIP. High quality, reliable, and trusted by thousands of customers across India. Model 11."
cfbf8251-1b03-4c7f-ba56-435e412427d3,EIP Furniture Item 12,Furniture,45085.14,142,"Premium furniture product by EIP. High quality, reliable, and trusted by thousands of customers across India. Model 12."
92199af2-b9c7-4ef2-94e8-148ceb44cbd7,EIP Apparel Item 13,Apparel,80999.22,3,"Premium apparel product by EIP. High quality, reliable, and trusted by thousands of customers across India. Model 13."
432574dc-af5f-4996-94cf-cd3b2be0b724,EIP Books Item 14,Books,75952.09,81,"Premium books product by EIP. High quality, reliable, and trusted by thousands of customers across India. Model 14."
fc0c848a-fb4c-4fd2-bee6-8d383f878afe,EIP Sports Item 15,Sports,69903.5,174,"Premium sports product by EIP. High quality, reliable, and trusted by thousands of customers across India. Model 15."
5b1dc0a8-ef24-4028-abe2-c18e4323ef82,EIP Electronics Item 16,Electronics,28002.77,110,"Premium electronics product by EIP. High quality, reliable, and trusted by thousands of customers across India. Model 16."
fdb1beb2-a2d0-457b-a3f2-7efafa775181,EIP Furniture Item 17,Furniture,95733.14,172,"Premium furniture product by EIP. High quality, reliable, and trusted by thousands of customers across India. Model 17."
f6ba000c-cb06-4c8b-b73b-8042ddab2fd6,EIP Apparel Item 18,Apparel,10489.36,194,"Premium apparel product by EIP. High quality, reliable, and trusted by thousands of customers across India. Model 18."
31aa7471-f30e-49b3-8095-e2e36cef30a6,EIP Books Item 19,Books,9941.62,433,"Premium books product by EIP. High quality, reliable, and trusted by thousands of customers across India. Model 19."
d08f0c4b-4db2-43ae-945d-f86ecfddb814,EIP Sports Item 20,Sports,34591.39,135,"Premium sports product by EIP. High quality, reliable, and trusted by thousands of customers across India. Model 20."
cd55b85a-03cb-4f75-a1c9-04422c24e21d,EIP Electronics Item 21,Electronics,80769.69,373,"Premium electronics product by EIP. High quality, reliable, and trusted by thousands of customers across India. Model 21."
c8632b4b-e47f-4314-98a0-9a124f32145f,EIP Furniture Item 22,Furniture,46103.66,63,"Premium furniture product by EIP. High quality, reliable, and trusted by thousands of customers across India. Model 22."
dd7cc4af-cfba-4a3e-b094-bbba1e601b15,EIP Apparel Item 23,Apparel,97318.64,193,"Premium apparel product by EIP. High quality, reliable, and trusted by thousands of customers across India. Model 23."
c5ba6c34-2b57-4026-9134-0337d5a8a7d8,EIP Books Item 24,Books,8155.38,150,"Premium books product by EIP. High quality, reliable, and trusted by thousands of customers across India. Model 24."
de591b95-c027-46b9-a8ab-208231e7525d,EIP Sports Item 25,Sports,82990.65,316,"Premium sports product by EIP. High quality, reliable, and trusted by thousands of customers across India. Model 25."
cf7e6c14-930d-4ba6-b71f-463fbad81854,EIP Electronics Item 26,Electronics,88578.54,185,"Premium electronics product by EIP. High quality, reliable, and trusted by thousands of customers across India. Model 26."
81187abd-4cc6-4bdf-8ed1-ea24655a93f7,EIP Furniture Item 27,Furniture,57861.01,360,"Premium furniture product by EIP. High quality, reliable, and trusted by thousands of customers across India. Model 27."
17a34790-0e23-4881-9dd5-71fe99998bb4,EIP Apparel Item 28,Apparel,7233.65,338,"Premium apparel product by EIP. High quality, reliable, and trusted by thousands of customers across India. Model 28."
7837b8d8-2e33-42ed-8c7f-92278b0d4440,EIP Books Item 29,Books,23020.46,148,"Premium books product by EIP. High quality, reliable, and trusted by thousands of customers across India. Model 29."
8d633991-ff1f-4397-9c27-7ac95b9cdff5,EIP Sports Item 30,Sports,98525.59,437,"Premium sports product by EIP. High quality, reliable, and trusted by thousands of customers across India. Model 30."
5a3db2e6-1cdb-4970-93ed-98a23e0f8111,EIP Electronics Item 31,Electronics,23508.25,51,"Premium electronics product by EIP. High quality, reliable, and trusted by thousands of customers across India. Model 31."
4121651a-3639-42ee-b237-e6b3fff423a2,EIP Furniture Item 32,Furniture,38197.58,232,"Premium furniture product by EIP. High quality, reliable, and trusted by thousands of customers across India. Model 32."
